unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,year,total_faculty,tenured_total,t_track_total,non_tenure_total,assistant_professor_total,associate_professor_total,professor_total,non_tenure_assistant_professor,non_tenure_associate_professor,non_tenure_professor,t_track_assistant_professor,t_track_associate_professor,t_track_professor,tenured_assistant_professor,tenured_associate_professor,tenured_professor,pct_tenured,pct_t_track,pct_non_tenure,pct_professor,pct_associate_professor,pct_assistant_professor,pct_tenured_professor,pct_tenured_associate_professor,pct_tenured_assistant_professor,pct_t_track_professor,pct_t_track_associate_professor,pct_t_track_assistant_professor,pct_non_tenure_professor,pct_non_tenure_associate_professor,pct_non_tenure_assistant_professor,tenure_system_total,pct_tenure_system,non_tenure_to_tenure_system_ratio,senior_faculty_total,pct_senior_faculty,assistant_to_senior_ratio,check_tenure_total,check_rank_total,tenure_total_diff,rank_total_diff,pct_tenure_sum,pct_rank_sum,rank_total,pct_professor_ranked,pct_associate_professor_ranked,pct_assistant_professor_ranked,ft_ugrd,pt_ugrd,ugrd_total,ugrd_fte,grad_total,grad_fte,ugrds_per_faculty,grads_per_tenure_system,indexed_total_faculty
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2019,875,482,134,259,132,228,256,,,,132,2,0,0,226,256,0.550857143,0.153142857,0.296,0.292571429,0.260571429,0.150857143,0.292571429,0.258285714,0,0,0.002285714,0.150857143,,,,616,0.704,0.420454545,484,0.553142857,0.272727273,875,616,0,0,1,0.704,616,0.415584416,0.37012987,0.214285714,9666,235,9901,9744.333333,4846,3889.333333,11.13638095,6.313852814,106.5773447
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2020,882,482,140,260,137,216,269,,,,137,3,0,0,213,269,0.546485261,0.158730159,0.29478458,0.304988662,0.244897959,0.155328798,0.304988662,0.241496599,0,0,0.003401361,0.155328798,,,,622,0.70521542,0.418006431,485,0.549886621,0.282474227,882,622,0,0,1,0.70521542,622,0.432475884,0.347266881,0.220257235,9571,209,9780,9640.666667,5154,4022.666667,10.93046107,6.467309753,107.4299635
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2021,880,466,143,271,141,195,273,,,,141,2,0,0,193,273,0.529545455,0.1625,0.307954545,0.310227273,0.221590909,0.160227273,0.310227273,0.219318182,0,0,0.002272727,0.160227273,,,,609,0.692045455,0.44499179,468,0.531818182,0.301282051,880,609,0,0,1,0.692045455,609,0.448275862,0.320197044,0.231527094,9717,222,9939,9791,5622,4469.333333,11.12613636,7.338806787,107.1863581
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2022,884,471,135,278,135,186,285,,,,135,0,0,0,186,285,0.53280543,0.152714932,0.314479638,0.32239819,0.21040724,0.152714932,0.32239819,0.21040724,0,0,0,0.152714932,,,,606,0.685520362,0.458745875,471,0.53280543,0.286624204,884,606,0,0,1,0.685520362,606,0.47029703,0.306930693,0.222772277,9757,225,9982,9832,5305,4221.666667,11.12217195,6.966446645,107.6735688
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2023,893,474,135,284,135,188,286,,,,135,0,0,0,188,286,0.530795073,0.151175812,0.318029115,0.320268757,0.210526316,0.151175812,0.320268757,0.210526316,0,0,0,0.151175812,,,,609,0.681970885,0.466338259,474,0.530795073,0.284810127,893,609,0,0,1,0.681970885,609,0.469622332,0.308702791,0.221674877,9856,227,10083,9931.666667,5197,4139.666667,11.1216872,6.797482211,108.7697929
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2024,921,471,148,302,145,173,301,,,,145,3,0,0,170,301,0.511400651,0.160694897,0.327904452,0.326818675,0.187839305,0.157437568,0.326818675,0.184581976,0,0,0.003257329,0.157437568,,,,619,0.672095548,0.487883683,474,0.51465798,0.305907173,921,619,0,0,1,0.672095548,619,0.486268174,0.279483037,0.234248788,9979,335,10314,10090.66667,5118,4181.333333,10.95620702,6.754981152,112.180268
164924,Boston College,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2025,932,474,153,305,150,172,305,,,,150,3,0,0,169,305,0.508583691,0.16416309,0.327253219,0.327253219,0.184549356,0.160944206,0.327253219,0.181330472,0,0,0.003218884,0.160944206,,,,627,0.672746781,0.486443381,477,0.511802575,0.314465409,932,627,0,0,1,0.672746781,627,0.486443381,0.274322169,0.23923445,10127,352,10479,10244.33333,5197,4219,10.99177396,6.728867624,113.5200974
165015,Brandeis University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2016,358,195,52,111,52,71,124,,,,52,0,0,0,71,124,0.544692737,0.145251397,0.310055866,0.346368715,0.198324022,0.145251397,0.346368715,0.198324022,0,0,0,0.145251397,,,,247,0.689944134,0.449392713,195,0.544692737,0.266666667,358,247,0,0,1,0.689944134,247,0.502024291,0.287449393,0.210526316,3591,17,3608,3596.666667,2121,1779,10.04655493,7.20242915,100
165015,Brandeis University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2017,356,197,47,112,46,75,123,,,,46,1,0,0,74,123,0.553370787,0.132022472,0.314606742,0.345505618,0.210674157,0.129213483,0.345505618,0.207865169,0,0,0.002808989,0.129213483,,,,244,0.685393258,0.459016393,198,0.556179775,0.232323232,356,244,0,0,1,0.685393258,244,0.504098361,0.307377049,0.18852459,3620,15,3635,3625,2086,1720.666667,10.18258427,7.051912568,99.44134078
165015,Brandeis University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2018,363,194,61,108,58,75,122,,,,58,3,0,0,72,122,0.534435262,0.168044077,0.297520661,0.336088154,0.20661157,0.159779614,0.336088154,0.198347107,0,0,0.008264463,0.159779614,,,,255,0.702479339,0.423529412,197,0.542699725,0.294416244,363,255,0,0,1,0.702479339,255,0.478431373,0.294117647,0.22745098,3619,20,3639,3625.666667,2161,1819,9.988062443,7.133333333,101.396648
