unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,metric,first_year,last_year,n_years,first_value,last_value,absolute_change,percent_change,average_annual_change,slope,intercept,r_squared,p_value,std_error
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.475982533,0.427852349,-0.048130184,-0.101117542,-0.005347798,-0.007195566,14.98713129,0.857322801,0.000120422,0.001037827
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.18558952,0.144295302,-0.041294218,-0.222502961,-0.004588246,-0.004677586,9.629999433,0.63576306,0.005731532,0.00125176
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.338427948,0.427852349,0.089424401,0.264234683,0.009936045,0.011873153,-23.61713073,0.936205105,4.64939E-06,0.001095793
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.262008734,0.243288591,-0.018720143,-0.071448546,-0.002080016,-0.002487866,5.281739815,0.756394394,0.00107414,0.000499173
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.233624454,0.201342282,-0.032282172,-0.138179765,-0.003586908,-0.00495615,10.22127099,0.710235837,0.002202382,0.001119233
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.165938865,0.127516779,-0.038422086,-0.231543624,-0.004269121,-0.004429137,9.114119922,0.545780469,0.014656355,0.001428558
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.661572052,0.572147651,-0.089424401,-0.135169557,-0.009936045,-0.011873153,24.61713073,0.936205105,4.64939E-06,0.001095793
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.495633188,0.444630872,-0.051002315,-0.10290335,-0.005666924,-0.007444016,15.5030108,0.839056389,0.00019662,0.001152666
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,5.947194719,5.276637341,-0.670557378,-0.112751879,-0.074506375,-0.093337498,194.1719545,0.909510814,1.90372E-05,0.010408917
111948,Chapman University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,13.58806405,12.2393736,-1.348690445,-0.099255526,-0.149854494,-0.138840681,293.658591,0.791637285,0.000564934,0.025183647
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,586,679,93,0.158703072,10.33333333,9.896969697,-19372.32727,0.946404609,2.3062E-06,0.832688456
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.612627986,0.490427099,-0.122200888,-0.199469973,-0.013577876,-0.015173671,31.20142402,0.963629143,4.85613E-07,0.001042239
